name,launch,years,carrierRocket,launchSite,Block,№,SVN,PRN,Slot,Retired,link
Kosmos 1970,16 September 1988,2,Proton-K/DM-2,Baikonur 200/39,IIv,13,742,III,17,21 May 1990,#
Kosmos 1971,16 September 1988,1,Proton-K/DM-2,Baikonur 200/39,IIv,13,743,III,18,31 August 1989,#
Kosmos 1972,16 September 1988,3,Proton-K/DM-2,Baikonur 200/39,IIv,13,744,III,19,1 November 1991,#
Kosmos 1987,10 January 1989,4,Proton-K/DM-2,Baikonur 200/39,IIv,14,727,I,2,14 March 1993,#
Kosmos 1988,10 January 1989,3,Proton-K/DM-2,Baikonur 200/39,IIv,14,745,I,3,16 February 1992,#
Kosmos 2022,31 May 1989,1,Proton-K/DM-2,Baikonur 200/40,IIv,15,728,III,24,25 January 1990,#
Kosmos 2023,31 May 1989,0,Proton-K/DM-2,Baikonur 200/40,IIv,15,729,III,19,18 November 1989,#
Kosmos 2079,19 May 1990,4,Proton-K/DM-2,Baikonur 200/40,IIv,16,746,III,17,23 April 1994,#
Kosmos 2080,19 May 1990,4,Proton-K/DM-2,Baikonur 200/40,IIv,16,751,III,19,27 July 1994,#
Kosmos 2081,19 May 1990,2,Proton-K/DM-2,Baikonur 200/40,IIv,16,752,III,20,18 August 1992,#
Kosmos 2109,8 December 1990,4,Proton-K/DM-2,Baikonur 200/40,IIv,17,747,I,7,17 March 1994,#
Kosmos 2110,8 December 1990,3,Proton-K/DM-2,Baikonur 200/40,IIv,17,748,I,4,29 October 1993,#
Kosmos 2111,8 December 1990,6,Proton-K/DM-2,Baikonur 200/40,IIv,17,749,I,5,9 June 1996,#
Kosmos 2139,4 April 1991,3,Proton-K/DM-2,Baikonur 200/39,IIv,18,750,III,22,29 September 1994,#
Kosmos 2140,4 April 1991,1,Proton-K/DM-2,Baikonur 200/39,IIv,18,753,III,21,6 January 1992,#
Kosmos 2141,4 April 1991,1,Proton-K/DM-2,Baikonur 200/39,IIv,18,754,III,24,26 February 1992,#
Kosmos 2177,29 January 1992,1,Proton-K/DM-2,Baikonur 81/23,IIv,19,768,I,3,9 January 1993,#
Kosmos 2178,29 January 1992,5,Proton-K/DM-2,Baikonur 81/23,IIv,19,769,I,8,23 May 1997,#
Kosmos 2179,29 January 1992,4,Proton-K/DM-2,Baikonur 81/23,IIv,19,771,I,1,25 October 1996,#
Kosmos 2204,30 July 1992,5,Proton-K/DM-2,Baikonur 81/23,IIv,20,756,III,18,27 June 1997,#
Kosmos 2205,30 July 1992,2,Proton-K/DM-2,Baikonur 81/23,IIv,20,772,III,21,29 June 1994,#
Kosmos 2206,30 July 1992,4,Proton-K/DM-2,Baikonur 81/23,IIv,20,774,III,24,18 May 1996,#
Kosmos 2234,17 February 1993,1,Proton-K/DM-2,Baikonur 81/23,IIv,21,773,I,2,9 March 1994,#
Kosmos 2235,17 February 1993,4,Proton-K/DM-2,Baikonur 81/23,IIv,21,759,I,6,30 June 1997,#
Kosmos 2236,17 February 1993,4,Proton-K/DM-2,Baikonur 81/23,IIv,21,757,I,3,27 July 1997,#
Kosmos 2275,11 April 1994,5,Proton-K/DM-2,Baikonur 81/23,IIv,22,758,III,18,5 March 1999,#
Kosmos 2276,11 April 1994,5,Proton-K/DM-2,Baikonur 81/23,IIv,22,760,III,17,30 July 1999,#
Kosmos 2277,11 April 1994,3,Proton-K/DM-2,Baikonur 81/23,IIv,22,761,III,23,24 July 1997,#
Kosmos 2287,11 August 1994,4,Proton-K/DM-2,Baikonur 81/23,IIv,23,767,II,12,5 November 1998,#
Kosmos 2288,11 August 1994,5,Proton-K/DM-2,Baikonur 81/23,IIv,23,770,II,14,24 August 1999,#
